COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;FAZENDA;;DO BARREIRO;;SN;;;;;;;;;;;-19.73480497222222;-44.56468666666667;751.0;PONTE ALTA;3;35694000
31;63102;05;00;2;FAZENDA;;DOIS IRMAOS;;SN;;;;;;;;;;;-19.78936663888889;-44.58746166666667;769.0;VOLTA DO BREJO;3;35694000
31;63102;05;00;2;FAZENDA;;DUAS MARIAS;;SN;;;;;;;;;;;-19.747538333333335;-44.58267666666667;750.0;PONTE ALTA;3;35694000
31;63102;05;00;2;FAZENDA;;MANGABEIRAS;;SN;;;;;;;;;;;-19.76938997222222;-44.56758330555556;763.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;FAZENDA;;NOVA ESPERANCA;;SN;;;;;;;;;;;-19.746168333333333;-44.53735830555556;761.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;PARAISO;;SN;;;;;;;;;;;-19.774274972222223;-44.59097997222222;773.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;FAZENDA;;PINTALAU VULGO GERALDO BAQUIT;;SN;;;;;;;;;;;-19.735658305555557;-44.522129972222224;699.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;PONDEROSA;;SN;;;;;;;;;;;-19.752366666666667;-44.55271663888889;771.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;PONDEROSA;;SN;;;;;;;;;;;-19.73329497222222;-44.542699999999996;716.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;VERA CRUZ PEROBA;;SN;;;;;;;;;;;-19.728993305555555;-44.54125166666667;722.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;DONA;VEVA;;SN;;;;;;;;;;;-19.73634997222222;-44.58222166666667;773.0;PONTE ALTA;3;35694000
31;63102;05;00;2;FAZENDA;SANTA;RITA;;SN;;;;;;;;;;;-19.73193;-44.54542830555555;680.0;PONTE ALTA;3;35694000
31;63102;05;00;2;FAZENDA;SAO;FRANCISCO II;;SN;;;;;;;;;;;-19.77276663888889;-44.592823333333335;751.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;GRANJA;;BARREIRINHO;;SN;;;;;;;;;;;-19.742493333333336;-44.57297497222223;754.0;BARREIRINHO;3;35694000
31;63102;05;00;2;GRANJA;;GERALDO DINIZ;;SN;;;;;;;;;;;-19.73132833333333;-44.56183833333333;741.0;PONTE ALTA;3;35694000
31;63102;05;00;2;GRANJA;SAO;GERALDO;;SN;;;;;;;;;;;-19.776173305555556;-44.57706830555556;767.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;POVOADO;;DE LAGOA PRETA;;SN;;;;;;;;;;;-19.77469;-44.57477163888889;733.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;POVOADO;;DE LAGOA PRETA;;SN;;;;;;;;;;;-19.779018305555553;-44.57188333333334;783.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;POVOADO;;DE LAGOA PRETA;;SN;;;;;;;;;;;-19.7765;-44.57246163888889;759.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;PROPRIEDADE;;DE VALDECI FLAUSINO;;SN;;;;;;;;;;;-19.77156663888889;-44.58938497222223;762.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.728723305555555;-44.566399999999994;741.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.752543333333332;-44.570435;784.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.719581666666667;-44.55241833333333;724.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.743055000000002;-44.563963333333334;848.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.72778333333333;-44.56111330555555;744.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.721744972222222;-44.55271330555555;719.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.748350000000002;-44.57163497222223;773.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.727421638888888;-44.56251997222222;733.0;PONTE ALTA;3;35694000
31;63102;05;00;2;REGIAO;;DE PONTE ALTA;;SN;;;;;;;;;;;-19.747295;-44.57214997222223;752.0;PONTE ALTA;3;35694000
31;63102;05;00;2;RODOVIA;;MG 431;;SN;;;;;;;;;;;-19.73663666666667;-44.57815830555556;751.0;BARREIRINHO;3;35694000
31;63102;05;00;2;SITIO;;ALEGRE;;SN;;;;;;;;;;;-19.715761666666666;-44.530323333333335;693.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;BARREIRINHO;;SN;;;;;;;;;;;-19.739549972222225;-44.572055000000006;769.0;PONTE ALTA;3;35694000
31;63102;05;00;2;SITIO;;BOA ESPERANCA;;SN;;;;;;;;;;;-19.75849663888889;-44.588965;788.0;LAGOA PRETA;3;35694000
